content,name
"郑恺：,为什么非今天相亲呢？,卡莉,：我妈说了，当上了蒙内铁路的乘务员，身份不同了，美得不行了，嫁个高富帅，这辈子赢了。,郑恺：,哎呀，这非洲老太太，怎么跟有些国产丈母娘一个样儿啊。,卡莉,：老师，我才十八岁，不想这么早结婚，我想先工作一段时间，然后去中国留学。,郑恺：,卡莉，我懂你，中文台词网我支持你。,娄乃鸣：,卡莉。,卡莉,：老师，我妈来了，你要帮帮我。,郑恺：,我怎么帮你？,卡莉,：一会儿我说什么你就说什么。,郑恺：,没问题。,娄乃鸣：,卡莉。,郑恺：,您好。,娄乃鸣：,这位是？,卡莉,：这是我们培训中心的老师。,郑恺：,阿姨好，太热情了。,娄乃鸣：,老师，送给你水果。,郑恺：,谢谢阿姨。,娄乃鸣：,老师，卡莉在家里天天夸奖你，说你帅呆了。,郑恺：,过奖了。,娄乃鸣：,今天一见，果然很呆，老师，我来是要给卡莉请个假，我要带她去相亲。,郑恺：,阿姨，相亲的日子能不能改一天？,娄乃鸣：,相亲的日子不能改。,郑恺：,为什么？,娄乃鸣：,今天是个大喜的日子，我查过黄历了。,郑恺：,非洲还有黄历呢？,娄乃鸣：,有，非洲黄历，很黄，很准，卡莉，走。,郑恺：,太幽默了。",郑恺小品《同喜同乐》台词剧本（2018央视春晚）
"秦岚：,今天呢，我们来重温一下上一节课学习的重点，人类历史上第一个登上月球的人是谁呀？悦悦，你来回答。,悦悦：,老师，我连我自己是谁都不知道，我怎么可能知道他是谁呢？,秦岚：,悦悦，你说你这问题回答得尴尬不尴尬，那边罚站去，别看了，你来回答吧。,常远：,老师，那个第一个登上月球的是嫦娥。,秦岚：,嫦娥，我看你长得像嫦娥，一起站着去，什么学生？,常远：,那个悦悦，你记住了啊，第一个登月的人是阿姆斯特朗。,悦悦：,你知道答案你怎么还说错了。,常远：,我这不是想陪你罚站嘛？那个今天是你的生日，这是我送给你的生日礼物。,悦悦：,千纸鹤。,常远：,对啊，你打开看看，每只千纸鹤上都写着一件我要陪你做的事。悦悦，放学后我想陪你去吃冰棍，陪你跳皮筋，陪你写作业，陪你上厕所。那个我在女厕所门口那儿站着等你。,悦悦：,你说要陪我中文台词网，那就得陪我一辈子。,常远：,当然了，咱俩拉钩。,合：,拉钩上吊一百年不许变。,常远：,悦悦，你还记得吗？咱俩毕业那会没什么钱，有一家餐厅你一直特别想吃，后来咱俩攒了好长时间的钱，然后才狠下心，去那给你过了一回生日。,舒畅：,欢迎光临，两位请坐，二位想吃点什么？,常远：,你点吧。,悦悦：,餐厅看着挺贵的，你来吧，我也不会点。,常远：,行，那咱就看看人家点啥咱就点啥。,刘芸：,给我来一份四斤的龙虾。,秦岚：,好的。,常远：,给我来一份四斤的大豆腐。,刘芸：,给我来一个八四年的红酒。,秦岚：,好的，好的。,常远：,给我来一个八四年的服务员。,舒畅：,我就是八四年的服务员，请问你还要点什么吗？,常远：,那个。,刘芸：,就这些够吃了。,常远：,行，就这些够吃了。,舒畅：,你可就点了一块大豆腐。,悦悦：,那要不然再给我来两根葱，谢谢。",常远小品《但愿人长久》台词剧本
"舒畅：,大家好，我是舒畅，谢谢。张绍刚老师，我听说您的腿好了，是吗？,张绍刚：,好多了。,舒畅：,我现在一点都不舒畅了，好吧我们不说不开心的事情。先来说一点开心的事情，我喜欢的刘国梁刘教练。刘国梁有一对双胞胎女儿，姐姐叫赢赢，妹妹叫一一。一听这名字大家就能知道这是当爹的刚打完比赛按照名次顺便给起的。多亏没跟我们家一个路数按心情，要不然可就倒了霉了，一个叫激动，另一个叫好球。刘指导，乒乓球界的安西教练，好多想打乒乓球的孩子就跟刘国梁说，教练我想打球。刘国梁说，你想打球，我也想当教练呀。魏大勋，一看他的长相，应该会演戏，但是一看他的戏，肯定是个小鲜肉。魏大勋非常厉害，他凭借自己的作品《快乐大本营》多次登上了《快乐大本营》，因此他被我们称为是《快乐大本营》的亲儿子。我们非常期待在接下来魏大勋可以带着《快乐大本营》去下一季的《爸爸去哪儿》。说到这个综艺节目，真人秀我最近也参加了一个《演员的诞生》，宋丹丹老师是我的导师，宋方金，一个被宋丹丹老师改过剧本的男人，编剧，但其实在此之前我们都不知道宋方金老师是谁，是吧。可是被宋丹丹老师这么一改，宋方金就火了。",舒畅《吐槽大会》第二季台词
"王自健：,好的，谢谢大家！谢谢！欢迎回来六个核桃，《今晚,后脱口秀》，我是王自健，谢谢大家！谢谢！,那天我跟叶导就聊这个过年的事，叶导跟我说，看蛋蛋特别可怜。我说为什么，然后叶导就说你看蛋蛋刚发的朋友圈，他说刚刚下载了一个共享单车的,。我说下载共享单车的,APP,，有什么可可怜的呢？我早就下了对不对？叶导说你再看他上一条朋友圈，写的是没有抢到过年回内蒙的火车票。,每年过年有一个话题，是我们根本回避不了的，那就是春运。每年在这个时候，我们就觉得最奇葩的一个地方，叫,那个网站，不想吐槽了。我觉得这个题再次出下去，很有可能就会出那种题。一个王建国，一个史炎，一个李蛋，一个叶导，请问这四个人里面，学历最高的人是谁？你根本就选不出来对不对？因为四个人都是本科毕业，虽然有一个人是交大的，中文台词网但也就只是个本科而已好吗？,每年春运买火车票，我们都是一直从键盘，一直被挤到火车站。在火车站里面还要挤，挤来挤去，我们为了什么？我们还不是为了能过年回一个家。在温暖的开心的家庭里面，听见你的父母跟你说上那句，交女朋友了没有？,每年过年，很多已经结婚的新家庭，都会面临一个非常难以选择的问题，就是过年回谁家。大量刚刚组建家庭的小夫妻，在过第一个春节的时候都会吵架，由吵架来决定到底回谁家过年。有调查显示，有,70%,的家庭都是会因为这个事情吵架的，显而易见我属于另外,30%,，对吧。我们家是不会为这种事吵架的，我们家都是回我家过年，明白吧。因为如果不回我家过年，她强烈要求回她家过年，而我再要求回我家过年，我们会一家人去医院过。",王自健《今晚80后脱口秀》台词（主题：过年啦）
"孙涛：,我们两个人是最好的朋友，我这么做还不是为了你，你说这话扎了我的小心心。,王宏坤：,我知道你是为我好。,孙涛：,你知道就行，如果你非要去的话，做兄弟的我陪着你去。,王宏坤：,行。,孙涛：,但是咱们一会儿见着领导以后，一定要察言观色。,王宏坤：,还察言观色。,孙涛：,当然了，进去以后，领导会问你，你找谁啊？你说，我们找新来的处长。她说我就是，脸是绷着的。,王宏坤：,那肯定出事了。,孙涛：,错，恰恰说明这个领导她不善于伪装，非常的率真，相反，如果她说你找谁啊。你说我们找新来的处长，我们给领导提意见。她突然变脸。提意见，好啊好啊，欢迎欢迎。坏了，说明领导开始跟咱们玩套路了。,王宏坤：,咱单位领导还会套路。,孙涛：,什么叫还会，领导套路深。接着领导会马上说，等一等，我要把你们提的意见，原原本本地记下来。坏了，这就要出事。如果她接着说，对了，你们两个人叫什么名字。毁喽，这就是要跟咱俩秋后算账。,秦海璐：,研究研究，还有什么好研究的，这件事情务必马上落实。你们两个找谁呀？,孙涛：,我们找新来的处长。,秦海璐：,我就是，进来吧。,孙涛：,脸是绷着的，很率真，没问题。,秦海璐：,你听着，这件事情我来负责，中文台词网好吗？先这样，不说了，坐吧。,孙涛：,谢谢领导。,秦海璐：,你们两个找我什么事。,王宏坤：,提意见。,秦海璐：,什么？,王宏坤：,我们给领导提意见。,秦海璐：,给领导提意见。,王宏坤：,对。,秦海璐：,好啊，好啊，欢迎欢迎啊。,孙涛：,完了，领导开始跟咱玩套路了。,秦海璐：,你们两个要提什么意见？,王宏坤：,我要提的意见是。,秦海璐：,等一下，我把你们要提的意见记下来。,孙涛：,坏了，哥，要出事。,秦海璐：,对了，你们两个叫什么名字。,孙涛：,毁了，要收拾咱俩了。",孙涛最新小品《提意见》台词剧本
"马旭东：,大命，大命。,李大命：,小马哥。,马旭东：,你的快递。,李大命：,又给我送来了，我都说下班我自己去取了，你看你。,马旭东：,咱俩这个关系谁跟谁，不应该的吗！,李大命：,真够意思。,马旭东：,没事没事。,李大命：,你看你都出汗了，来，喝点水。,马旭东：,服务太周到了，对了，大命，我除了来给你送快递，其实想来你这办个业务。,李大命：,没问题，今天我值班，我来帮你办，咱们那么熟了。,马旭东：,能行吗？,李大命：,能行，坐坐坐。,马旭东：,我发现呐，这银行里有点熟人，就是好办事。,李大命：,认真严肃，规范服务，你好，先生。,马旭东：,先生，先什么生，（请小宋网工作人员不要长期照抄，谢谢）我跟你说你就别装了，咱们俩那么熟了对不对，直接开始办吧！,李大命：,先请您取下号，谢谢！,马旭东：,这就我一个人，我取什么号啊？,李大命：,对不起，这是规定。,马旭东：,行，取号，取号。（取号）我跟你说啊。,李大命：,对不起先生，我还没有叫号，请您离开座位。请,B01号顾客到3号窗口办理。,马旭东：,大命。,李大命：,认真严肃，规范服务，先生您好，请问您要办理什么业务？,马旭东：,是这样的，大命，我这有一张银行卡，你帮我把里边的钱都取出来行吗，我着急用。,李大命：,好的先生，请您出示一下身份证。,马旭东：,我好像没带身份证。, ",小品《钱多多银行》台词
"画外音：,由北京开往长沙的,G107次复兴号列车即将发车，请旅客抓紧时间上车。,肖旭：,回家了，知道今天我为什么这么开心吗，三年了没回过家，今天终于可以回长沙了，而且我没告诉我父母，我想给他们一个惊喜，你说惊喜不惊喜，惊喜不惊喜，惊惊惊,...,列车员：,别挡门。,肖旭：,你这个人，一点都不活泼。,（手机响）,肖旭：,喂，妈，妈妈，我今年也回不去家了，对，我得带着孩子们去慰问演出，对。,妈妈（电话）：,妈知道你忙回不来，我和你爸就想给你一个惊喜，再有一站我们就到北京啦。,肖旭：,啊，妈，别。,（电话挂断，车门关闭）,（音乐：北京欢迎你，为你开天辟地）,肖旭：,哎，等一下，那个我想问一下下一站什么时候到啊？,列车员：,直达长沙，不停。,肖旭：,啊？,列车员：,我逗你呢，（请小宋网工作人员不要长期照抄，谢谢）两点半到，其实我也很活泼。,肖旭：,今谁给谁惊喜啊。小伙你这个年货挺多呀，干嘛不找个快递呢。,快递哥：,我就是快递，哎，我跟你说啊，我们一年里边,364天都是给别人送快递，今年最后一天了，我给我爹妈也当回快递。,肖旭：,孝顺，今天我也给你当回快递。,快递哥：,孝顺。咋了，哥？,肖旭：,没事，好像吃了点亏。,快递哥：,吃亏是福，一会帮我搬吧。,肖旭：,行。不开门呐。,快递哥：,这边开呢。, ",坐火车回家小品《一路惊喜》台词（爱笑兄弟肖旭肥龙）
"郎朗：,音乐就是语言，但音乐好处在哪呢？你走遍世界不用翻译，走哪都能听懂。,郭冬临：,我知道，音乐无国界，对不对？但是你弹了，我就算我听懂，好多观众朋友们也听不懂啊。音乐有语言，你不如我们表演的语言来得直接，我这意思。,郎朗：,哎，怎么那么嚣张啊？刚弹了个老柴协奏曲，就疯狂了？,郭冬临：,我疯狂啥呀？我就是说没有我们来得直接。,郎朗：,不对，我不这么认为，这样吧，专门让你感受一下，你不不直接吗？我就让你直接。,郭冬临：,单独为我做的菜？,郎朗：,完全就对你。,郭冬临：,什么呀？,郎朗：,我用音乐演绎春夏秋冬。,郭冬临：,我的天呐。,郎朗：,专门给你做的菜。,郭冬临：,啥也别说了，开始吧。,郎朗：,来。,（郎朗演奏：《春之声圆舞曲》郭冬临在旁边学郎朗的样子）,郭冬临：,好。,郎朗：,那这是什么呢？,郭冬临：,我光看他们跳舞了。春。,郎朗：,继续来啊。,（郎朗演奏《野蜂飞舞》）,郎朗：,这又是什么？,郭冬临：,夏。吓死我了。,郎朗：,继续来。,（郎朗演奏《田园交响曲》第三乐章）,郎朗：,好，太棒了。,郭冬临：,他们可是中国乃至全世界最好的芭蕾舞演员。,郎朗：,那是中文台词网，有我的两个好朋友，吕萌，焦洋。,郭冬临：,谢谢你们。,郎朗：,太棒了。,郭冬临：,我知道，金色的秋天。,郎朗：,越来越有品位了啊。,郭冬临：,音乐素养咋样？,郎朗：,增加了，增加了，还没完呢，继续啊，继续。",郭冬临小品《梦想协奏曲》台词剧本
"小武：,崔宝剑同志。和你说了多少遍了这是我们家，能不能不要总把外人往家里带行吗？,周云鹏：,怎么说话呢？什么，哪有外国人。都是华侨。,小武：,爸你过来，过来，我告诉你，现在这个社会上骗子可都专门骗你这种不正经的老头。,周云鹏：,说什么，什么玩意儿？,小武：,不冷静的老头。,（珍珠要走）,周云鹏：,珍珠。,小武：,薛珍珠阿姨，我爸在医院里住了不少日子，你也没少陪，这样，这点呢，意思一下啊。谢谢你，好走，不送。,周云鹏：,这是，什么意思。有钱人很了不起吗？,车晓：,别，你别生气，你坐下别生气啊，小崔呀，你爸爸住院这三个月，我一共侍候他,，,万呢。,小武：,爸，狐狸尾巴露出来了。还说不在乎钱，比我还能算呢。你要没有这些钱，她能看上你这个人。,周云鹏：,小武，说什么话呢。,车晓：,看咱俩这事呀，太费劲了中文台词网，我也别弄得你们俩父子不和，宝剑，走了。,周云鹏：,站住，下半辈子我都想和你在一起。,车晓：,可是。你得先跟你儿子说说清楚是吧。然后你选一个良辰吉日，你到我家去，你求我，要不然我就不嫁。,周云鹏：,珍珠。珍珠。,（珍珠走了）,小武：,爸。,周云鹏：,你看，还看啥呀。看我老婆干啥，快把我妈救回来。把你妈，救过来。,小武：,走。,周云鹏：,珍珠。",周云鹏小品《我的后半生》台词剧本
"吴彼：,不是，我觉得是这样弟妹，我觉得咱们是不是应该心态放平和，敞开心扉，咱先唠点真心磕。你看，你一个小女子从东部来到西部为夫寻仇，没必要。关键我心疼你。,张海宇：,嫂子，你不知道我刚才看到你第一眼的时候，我看到了一双，一双孤独的眼睛、一个渴望爱的躯壳、一个孤独而又强大的灵魂，嫂子你没有必要这么拼，我心疼你。,马丽：,长这么大第一次有人说心疼我，好暖，谢谢你们。不过你们还挺不容易的，这么穷的地方开个酒馆，块饿死了吧？跟两个快死的人，也没必要结下梁子。,吴彼：,弟妹你这么说，你这说的真是真心磕，既然这样那咱就是一家人，这不是一家人。,张海宇：,进不了一家门。,马丽：,那咱们就翻篇吧。,吴彼：,翻篇了，那咱就？,张海宇：,我提议咱们还是说三个数，中文台词网咱们把它放下。,吴彼：,行。,马丽：,好的。,张海宇：,真放下。,吴彼：,好。,马丽：,好的。,张海宇：,行，三二。,马丽：,一。,吴彼：,不讲究。,张海宇：,你这信任危机。,马丽：,谁先死？,张海宇：,哥。,吴彼：,不是。,马丽：,咋的，你俩是陀螺呀？别转了，死之前呢我们一起玩个游戏吧，我这个人。,吴彼：,哎呀，痒痒，你给我挠挠。",马丽张海宇小品《赏金猎人》台词剧本
